yyyy,mm,day,HH,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,5,24,3,44,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-3.364666786487232,0.5694972495739256,0.03324376506907802,241.57317411830047
2019,5,24,3,45,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.5752553260027446,0.5694972495739256,0.03294419672302374,238.8405998333796
2019,5,24,3,46,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.534606577121033,0.5694972495739256,0.03264462837696948,236.10802554845876
2019,5,24,3,47,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.2436538282933034,0.5694972495739256,0.03234506003091521,233.3754512635379
2019,5,24,3,48,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.4095543968926743,0.5694972495739256,0.032045491684860934,230.64287697861704
2019,5,24,3,49,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.644834481276041,0.5694972495739256,0.03174592333880667,227.9103026936962
2019,5,24,3,50,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.371148233227852,0.5694972495739256,0.031446354992752404,225.17772840877535
2019,5,24,3,51,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.1262684182900506,0.5694972495739256,0.03114678664669813,222.44515412385448
2019,5,24,3,52,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.9524181325862155,0.5694972495739256,0.030847218300643856,219.71257983893364
2019,5,24,3,53,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.8199676927495834,0.5694972495739256,0.030547649954589588,216.9800055540128
2019,5,24,3,54,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.85395217401768,0.5694972495739256,0.030248081608535322,214.24743126909192
2019,5,24,3,55,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.7326744235274656,0.5694972495739256,0.02994851326248105,211.51485698417105
2019,5,24,3,56,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.9100370049079656,0.5694972495739256,0.02964894491642678,208.7822826992502
2019,5,24,3,57,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.0639439456647515,0.5694972495739256,0.02934937657037251,206.04970841432936
2019,5,24,3,58,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.25839270189094,0.5694972495739256,0.029049808224318237,203.3171341294085
2019,5,24,3,59,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.132199752172664,0.5694972495739256,0.028750239878263965,200.58455984448764
2019,5,24,4,0,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.36428335667465,0.5694972495739256,0.028450671532209693,197.8519855595668
2019,5,24,4,1,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.456903570017761,0.5694972495739256,0.028151103186155428,195.11941127464593
2019,5,24,4,2,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-2.3337148998237196,0.5694972495739256,0.02785153484010116,192.38683698972508
2019,5,24,4,3,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.570083931105462,0.5694972495739256,0.027551966494046887,189.6542627048042
2019,5,24,4,4,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.5930951212697881,0.5694972495739256,0.027252398147992615,186.92168841988337
2019,5,24,4,5,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.495194797394559,0.5694972495739256,0.02695282980193835,184.18911413496252
2019,5,24,4,6,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.2888180834103147,0.5694972495739256,0.02665326145588408,181.45653985004165
2019,5,24,4,7,25.62897860987237,8.399999999999999,-999,1.2382265892998556,-1.715530677085217,0.5694972495739256,0.026353693109829806,178.7239655651208
