#Dataset: HATPRO UIBK Humidity - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 04:50:00;7.57;7.50;7.41;7.36;7.30;7.24;7.17;7.11;6.99;6.88;6.72;6.58;6.43;6.30;6.18;6.05;5.87;5.68;5.49;5.20;4.92;4.64;4.35;3.96;3.58;3.24;2.76;2.28;1.86;1.43;1.09;0.77;0.53;0.36;0.24;0.14;0.07;0.03;0.01
2019-05-23 05:00:00;7.59;7.50;7.41;7.35;7.29;7.22;7.16;7.09;6.97;6.85;6.70;6.56;6.42;6.29;6.17;6.04;5.88;5.69;5.50;5.22;4.94;4.66;4.37;3.97;3.58;3.24;2.76;2.28;1.85;1.43;1.09;0.77;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 05:10:00;7.53;7.45;7.35;7.30;7.23;7.17;7.10;7.04;6.92;6.80;6.65;6.51;6.37;6.24;6.12;5.99;5.83;5.64;5.45;5.18;4.90;4.62;4.34;3.94;3.56;3.23;2.76;2.28;1.86;1.44;1.11;0.79;0.56;0.38;0.26;0.15;0.07;0.03;0.01
2019-05-23 05:20:00;7.51;7.44;7.34;7.29;7.22;7.16;7.09;7.03;6.90;6.79;6.64;6.50;6.36;6.23;6.11;5.98;5.82;5.63;5.44;5.16;4.88;4.61;4.32;3.92;3.55;3.21;2.74;2.26;1.84;1.42;1.09;0.77;0.55;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 05:30:00;7.44;7.36;7.27;7.22;7.16;7.10;7.04;6.98;6.85;6.74;6.59;6.45;6.31;6.18;6.05;5.93;5.76;5.57;5.38;5.10;4.82;4.54;4.27;3.88;3.51;3.19;2.73;2.27;1.86;1.44;1.11;0.79;0.55;0.38;0.25;0.14;0.07;0.03;0.01
2019-05-23 05:40:00;7.46;7.38;7.28;7.23;7.17;7.11;7.04;6.98;6.85;6.74;6.59;6.45;6.31;6.18;6.06;5.94;5.77;5.59;5.40;5.12;4.84;4.57;4.28;3.89;3.51;3.18;2.71;2.24;1.82;1.40;1.08;0.76;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 05:50:00;7.42;7.34;7.25;7.20;7.13;7.07;7.01;6.94;6.82;6.71;6.56;6.42;6.27;6.15;6.03;5.91;5.74;5.56;5.37;5.10;4.82;4.55;4.27;3.87;3.50;3.17;2.71;2.24;1.82;1.41;1.08;0.77;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 06:00:00;7.41;7.33;7.24;7.19;7.12;7.06;7.00;6.93;6.81;6.70;6.55;6.41;6.27;6.14;6.02;5.90;5.73;5.55;5.36;5.09;4.81;4.53;4.25;3.86;3.49;3.16;2.70;2.23;1.82;1.41;1.08;0.77;0.54;0.37;0.25;0.14;0.07;0.03;0.01
2019-05-23 06:10:00;7.40;7.33;7.23;7.18;7.12;7.06;6.99;6.93;6.81;6.70;6.55;6.41;6.26;6.14;6.02;5.90;5.73;5.55;5.36;5.08;4.81;4.53;4.25;3.85;3.48;3.15;2.68;2.20;1.78;1.37;1.05;0.74;0.52;0.36;0.24;0.14;0.07;0.03;0.01
2019-05-23 06:20:00;7.35;7.28;7.18;7.13;7.07;7.00;6.94;6.88;6.76;6.65;6.50;6.36;6.22;6.09;5.98;5.86;5.69;5.51;5.32;5.05;4.77;4.50;4.21;3.82;3.44;3.11;2.64;2.17;1.76;1.35;1.03;0.73;0.51;0.35;0.24;0.14;0.06;0.03;0.01
2019-05-23 06:30:00;7.31;7.23;7.14;7.08;7.02;6.95;6.89;6.83;6.70;6.60;6.45;6.31;6.17;6.05;5.93;5.82;5.66;5.47;5.29;5.03;4.75;4.47;4.19;3.79;3.41;3.08;2.61;2.14;1.73;1.33;1.01;0.71;0.51;0.35;0.24;0.13;0.06;0.03;0.01
2019-05-23 06:40:00;7.33;7.26;7.16;7.11;7.04;6.98;6.92;6.85;6.73;6.62;6.47;6.33;6.20;6.07;5.96;5.84;5.68;5.49;5.31;5.04;4.76;4.49;4.20;3.80;3.42;3.09;2.61;2.14;1.72;1.32;1.00;0.70;0.50;0.34;0.23;0.13;0.06;0.03;0.01
