#Dataset: HATPRO UIBK Temperature - RAW
rawdate;v01;v02;v03;v04;v05;v06;v07;v08;v09;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39
2019-05-23 08:10:00;286.85;286.78;286.56;286.29;285.95;285.62;285.34;285.06;284.57;284.01;283.14;282.38;281.71;281.07;280.44;279.90;279.23;278.53;277.84;277.00;276.17;275.36;274.48;273.47;272.48;271.27;269.90;268.55;267.44;265.94;263.90;261.06;257.17;252.92;248.63;242.81;235.22;227.66;222.06
2019-05-23 08:20:00;287.02;286.93;286.67;286.37;286.01;285.68;285.40;285.13;284.65;284.09;283.33;282.64;281.99;281.33;280.75;280.22;279.49;278.79;278.08;277.25;276.42;275.56;274.64;273.55;272.53;271.45;270.11;268.78;267.70;266.24;264.09;261.31;257.42;253.17;248.78;243.05;235.42;227.88;222.48
2019-05-23 08:30:00;287.25;287.20;287.01;286.79;286.49;286.21;285.95;285.69;285.18;284.59;283.78;283.09;282.42;281.70;281.13;280.60;279.89;279.19;278.48;277.65;276.88;276.02;275.21;274.25;273.38;272.27;270.87;269.35;268.12;266.52;264.26;261.36;257.42;253.17;248.81;242.90;234.98;227.26;221.79
2019-05-23 08:40:00;287.36;287.32;287.14;286.93;286.65;286.37;286.11;285.86;285.36;284.79;283.92;283.12;282.42;281.68;281.05;280.54;279.87;279.17;278.47;277.56;276.65;275.71;274.79;273.67;272.66;271.50;270.13;268.74;267.60;266.10;263.88;261.00;257.09;252.81;248.53;242.70;235.00;227.39;221.90
2019-05-23 08:50:00;287.53;287.51;287.39;287.25;287.05;286.83;286.63;286.43;286.03;285.50;284.62;283.78;283.04;282.29;281.64;281.10;280.39;279.62;278.88;277.97;277.07;276.16;275.30;274.25;273.30;272.11;270.70;269.20;267.95;266.42;264.24;261.22;257.14;252.74;248.31;242.34;234.56;226.91;221.53
2019-05-23 09:00:00;288.27;288.20;287.99;287.76;287.43;287.13;286.86;286.59;286.08;285.49;284.66;283.90;283.20;282.44;281.81;281.29;280.56;279.85;279.10;278.18;277.27;276.32;275.43;274.35;273.42;272.32;270.93;269.46;268.21;266.61;264.21;261.31;257.33;253.14;248.57;242.71;234.93;227.19;221.91
2019-05-23 09:10:00;288.35;288.31;288.11;287.88;287.53;287.21;286.93;286.67;286.17;285.57;284.62;283.78;283.08;282.34;281.74;281.25;280.61;279.91;279.21;278.32;277.46;276.58;275.70;274.70;273.71;272.54;271.13;269.62;268.23;266.69;264.41;261.40;257.52;253.35;248.84;242.89;235.04;227.20;221.60
2019-05-23 09:20:00;288.58;288.53;288.33;288.08;287.74;287.42;287.14;286.87;286.35;285.76;284.97;284.24;283.54;282.82;282.15;281.58;280.74;279.95;279.15;278.16;277.14;276.16;275.10;273.88;272.76;271.62;270.16;268.74;267.62;266.14;263.94;261.16;257.25;253.07;248.57;242.73;235.12;227.72;222.40
2019-05-23 09:30:00;288.71;288.68;288.56;288.39;288.11;287.85;287.62;287.39;286.96;286.38;285.53;284.76;284.03;283.27;282.62;282.04;281.24;280.45;279.69;278.79;277.87;276.87;275.89;274.75;273.69;272.53;271.10;269.54;268.20;266.71;264.46;261.51;257.54;253.26;248.74;242.75;234.92;227.34;222.03
2019-05-23 09:40:00;289.33;289.26;289.03;288.76;288.40;288.07;287.79;287.51;286.99;286.40;285.48;284.57;283.76;283.01;282.32;281.76;281.05;280.27;279.52;278.52;277.51;276.49;275.48;274.26;273.20;272.01;270.57;269.07;267.75;266.15;263.93;261.08;257.22;252.98;248.42;242.40;234.82;227.46;222.25
